Date,BAJAJELEC,upper,lower
2017-08-07,331.95,343.76099413182584,322.1247201538882
2017-08-08,329.85,343.653093338766,321.76833523266225
2017-08-09,319.95,344.3494924257067,318.8647932885787
2017-08-10,302.3,348.937116930839,309.3414544977321
2017-08-11,306.7,349.1885732152884,304.5542839275685
2017-08-14,304.75,349.1545431124137,300.11688545901455
2017-08-16,315.45,345.9499599287885,299.72146864263976
2017-08-17,328.9,343.58334596849016,300.6237968886524
2017-08-18,329.6,342.18548960272614,301.1502246829879
2017-08-21,327.55,342.1613584515734,301.1529272627122
2017-08-22,333.3,343.81885473868414,300.9597166898871
2017-08-23,339.5,346.2356450201772,300.04292640839407
2017-08-24,340.2,348.727972547196,299.2577417385182
2017-08-28,340.9,351.4027754955178,298.72579593305346
2017-08-29,337.1,352.32296505880385,298.5413206554818
2017-08-30,342.15,354.5911282357758,298.0303003356526
2017-08-31,348.1,358.58693862662363,298.05591851623336
2017-09-01,341.8,358.14778139873954,304.13793288697457
2017-09-04,345.4,357.88757902251166,309.9267066917739
2017-09-05,343.8,354.30549373185613,319.08736341100087
2017-09-06,343.45,351.6574033855339,325.7354537573231
2017-09-07,339.7,351.1385045537343,327.7972097319799
2017-09-08,345.8,351.24629573436897,330.0037042656309
2017-09-11,367.85,359.3962627476222,327.61088010952056
2017-09-12,377.75,369.873090485575,323.48405237156777
2017-09-13,372.8,375.6598858372552,322.4543998770304
2017-09-14,402.85,392.1023906005653,314.9618951137204
2017-09-15,389.6,399.2802555758571,314.7411729955715
2017-09-18,401.6,408.36242666937795,314.8732876163364
2017-09-19,389.3,412.47640047495804,317.4950280964707
2017-09-20,382.85,414.7889795553018,320.1467347304126
2017-09-21,376.6,415.071339790692,324.8358030664511
2017-09-22,373.35,414.8043149250137,329.0956850749866
2017-09-25,357.75,413.5719882463554,332.3208688965021
2017-09-26,358.45,411.9974185925636,336.038295693151
2017-09-27,355.3,409.52003444578236,340.7442512685037
2017-09-28,357.0,407.8100495334895,344.05423618079647
2017-09-29,353.05,408.82192123799143,340.9280787620088
2017-10-03,362.85,408.2993117006323,339.32211687079655
2017-10-04,359.35,408.1984848984412,337.50151510155916
2017-10-05,366.7,401.17915970961366,339.3565545761009
2017-10-06,366.65,397.4897168369861,339.7674260201569
2017-10-09,389.3,392.7824404907515,342.7175595092486
2017-10-10,386.85,391.9849837708314,343.1650162291688
2017-10-11,376.6,390.5434816777687,343.7136611793743
2017-10-12,375.6,390.3533907274568,343.76089498682904
2017-10-13,392.75,395.3756183524614,341.51009593325296
2017-10-16,397.15,401.41745445374823,341.0968312605375
2017-10-17,414.75,412.3130400778149,338.24410277932805
2017-10-18,418.65,421.5088462155197,338.09829664162316
2017-10-19,409.85,425.95453911501556,341.2026037421274
2017-10-23,404.35,427.04072831017544,347.44498597553894
2017-10-24,387.2,426.2347856574101,351.72950005687557
2017-10-25,380.9,424.09936808501294,356.94348905784415
2017-10-26,389.55,422.8405384513134,361.4666044058294
2017-10-27,384.55,420.8603037686754,366.00398194561035
2017-10-30,385.3,420.8420395618324,365.4508175810248
2017-10-31,388.0,420.85046113960857,365.60668171753423
2017-11-01,386.45,420.1979910296213,367.66629468466436
2017-11-02,392.45,419.2381057588685,371.03332281255985
2017-11-03,393.05,419.2509293891609,371.0633563251247
2017-11-06,393.3,418.96583051059235,370.79845520369327
2017-11-07,381.2,414.6539323040801,370.3174962673483
2017-11-08,379.3,407.0029565131896,372.34704348681043
2017-11-09,384.45,400.86989320921475,374.85153536221367
2017-11-10,406.95,402.10178420470703,373.9910729381499
2017-11-13,406.1,406.4190137626772,372.3738433801799
2017-11-14,413.25,412.1920287355279,371.2222569787578
2017-11-15,405.0,414.428341657531,371.1930869138975
2017-11-16,401.15,415.4828630855999,372.50999405725713
2017-11-17,400.7,416.23907465739387,373.9537824854631
2017-11-20,407.95,418.28387732665993,374.7589798161969
2017-11-21,408.4,419.8888332950308,376.2897381335404
2017-11-22,414.15,422.7575495089354,376.5210219196357
2017-11-23,464.45,445.98841957132464,363.4901518572464
2017-11-24,473.65,465.0722413107899,355.8849015463526
2017-11-27,491.1,485.0458591695784,351.6112836875641
2017-11-28,494.55,500.5754963703276,352.5459322011007
2017-11-29,479.75,508.22398177941716,358.51173250629677
2017-11-30,467.0,512.8733937315664,362.44089198271917
2017-12-01,449.1,513.8771842687297,367.5799585884129
2017-12-04,453.9,515.2942195906428,371.97006612364254
2017-12-05,448.05,514.835797815049,378.57848789923645
2017-12-06,474.1,516.0804223987723,387.75529188694173
2017-12-07,492.6,518.7589990757959,398.20528663848955
2017-12-08,482.2,517.6329973193983,409.93843125203017
2017-12-11,491.25,514.8354715280929,424.5716713290499
2017-12-12,480.0,506.41663320808794,442.39765250619774
2017-12-13,467.2,506.3827727615567,442.8243700955861
2017-12-14,451.3,507.1502772529976,438.8640084612881
2017-12-15,467.85,503.92453505381644,438.76832208904074
2017-12-18,477.15,500.0932225739908,440.113920283152
2017-12-19,476.65,499.60961285590406,440.15467285838156
2017-12-20,482.15,501.3358166291024,440.59275479946893
2017-12-21,479.0,500.94885027318423,445.2511497268156
2017-12-22,476.5,500.29674450545684,449.1318269231145
2017-12-26,473.75,497.07967832937135,456.02032167062845
2017-12-27,486.9,498.65344943870923,456.275121989862
2017-12-28,494.35,499.17992394803014,455.9986474805411
2017-12-29,497.7,502.7542264208245,454.63863072203236
2018-01-01,489.25,502.31214767073516,454.7949951864074
2018-01-02,489.8,503.76138695704697,454.7457559000957
2018-01-03,533.45,520.9077408275471,447.06368774388125
2018-01-04,540.35,533.2153605580093,447.47749658484764
